era,predictor,coef,odds_ratio,p_value
Pre-2025,Control of Corruption,1.7713704939422346,5.87890484634558,0.018732679232912792
Pre-2025,Political Stability,0.2963877277607436,1.344991546307403,0.6727566463166056
Pre-2025,Fixed Broadband,0.46975387746399117,1.599600447045817,0.2849074649341031
Pre-2025,Mobile Subscriptions,0.24027653743544433,1.2716007469138146,0.4269825937966967
Pre-2025,GDP per capita,0.46362354832726765,1.589824365732406,0.30871528948328797
Pre-2025,Tertiary Enrolment,0.7463216861156283,2.109227330012571,0.1100550127941446
Pre-2025,Journal Articles (log),3.65848404675664,38.80247552391212,3.5818921289482726e-09
Pre-2025,High-Tech Exports,0.48875364934356275,1.6302830488483886,0.04394468647303538
2025,Control of Corruption,1.5452201126579819,4.689003622490847,0.05326764123080075
2025,Political Stability,0.2696435566695443,1.309497605848465,0.748544207152066
2025,Fixed Broadband,-0.060689850985415864,0.9411150804314306,0.9275532294663237
2025,Mobile Subscriptions,-0.15013957632468566,0.8605878503526536,0.7495461056449202
2025,GDP per capita,0.6466795165746048,1.9091908557653092,0.26892741296114053
2025,Tertiary Enrolment,0.8935469545027837,2.4437822815428194,0.16060924342717187
2025,Journal Articles (log),4.388590113757651,80.52680527320051,1.8944205659950939e-06
2025,High-Tech Exports,0.5805324887165433,1.786989729317159,0.021883460064909058
