iso3,pct_rank_2024,pct_rank_2025,shift
USA,0.9946808510638298,0.9948717948717949,0.0001909438079651382
SGP,0.9893617021276596,0.9641025641025641,-0.025259138025095496
KOR,0.9840425531914894,0.9743589743589743,-0.009683578832515027
FRA,0.9787234042553191,0.9897435897435898,0.011020185488270662
GBR,0.973404255319149,0.9846153846153847,0.011211129296235689
CAN,0.9680851063829787,0.9384615384615385,-0.029623567921440275
NLD,0.9627659574468085,0.9794871794871794,0.016721222040370964
DEU,0.9574468085106383,0.9692307692307692,0.011783960720130882
FIN,0.9521276595744681,0.9076923076923077,-0.04443535188216041
AUS,0.9468085106382979,0.9538461538461538,0.007037643207855937
NOR,0.9414893617021276,0.9487179487179487,0.007228587015821075
JPN,0.9361702127659575,0.9282051282051282,-0.007965084560829228
ARE,0.9308510638297872,0.9025641025641026,-0.02828696126568464
SWE,0.925531914893617,0.882051282051282,-0.04348063284233494
DNK,0.9202127659574468,0.9435897435897436,0.023376977632296736
TWN,0.9148936170212766,0.841025641025641,-0.07386797599563555
ISR,0.9095744680851063,0.9179487179487179,0.008374249863611571
IRL,0.9042553191489362,0.9128205128205128,0.008565193671576599
AUT,0.898936170212766,0.8974358974358975,-0.0015002727768684831
BEL,0.8936170212765957,0.8461538461538461,-0.04746317512274956
EST,0.8882978723404256,0.8923076923076922,0.004009819967266681
SAU,0.8829787234042553,0.9230769230769231,0.04009819967266781
CHN,0.8776595744680851,0.958974358974359,0.08131478450627394
MYS,0.8723404255319149,0.8051282051282052,-0.06721222040370978
ITA,0.8670212765957447,0.8717948717948718,0.004773595199127123
PRT,0.8617021276595744,0.8564102564102565,-0.005291871249317959
LUX,0.8563829787234043,0.8307692307692307,-0.025613747954173594
CZE,0.851063829787234,0.8358974358974359,-0.015166393889798124
ISL,0.8457446808510638,0.7743589743589744,-0.07138570649208942
CHE,0.8404255319148937,0.8666666666666667,0.026241134751773032
ESP,0.8351063829787234,0.9333333333333333,0.09822695035460993
QAT,0.8297872340425532,0.7230769230769231,-0.1067103109656301
LTU,0.824468085106383,0.8512820512820513,0.026813966175668225
POL,0.8191489361702128,0.8769230769230769,0.057774140752864134
THA,0.8138297872340425,0.8256410256410256,0.01181123840698306
BRA,0.8085106382978724,0.8871794871794871,0.07866884888161474
SVN,0.8031914893617021,0.8153846153846154,0.012193126022913225
IDN,0.7978723404255319,0.764102564102564,-0.03376977632296785
RUS,0.7925531914893618,0.7487179487179487,-0.04383524277141304
NZL,0.7872340425531915,0.8102564102564103,0.02302236770321875
SVK,0.7819148936170213,0.6256410256410256,-0.15627386797599563
MLT,0.7765957446808511,0.8,0.023404255319148914
HUN,0.7712765957446809,0.8205128205128205,0.0492362247681396
CHL,0.7659574468085106,0.7435897435897436,-0.02236770321876702
OMN,0.7606382978723404,0.6871794871794872,-0.0734588106928532
IND,0.7553191489361702,0.8615384615384616,0.10621931260229134
URY,0.75,0.717948717948718,-0.03205128205128205
LVA,0.7446808510638299,0.7384615384615385,-0.00621931260229136
JOR,0.7393617021276595,0.676923076923077,-0.06243862520458254
CYP,0.7340425531914894,0.7589743589743589,0.024931805782869576
VNM,0.7287234042553192,0.7692307692307692,0.04050736497544993
BGR,0.7234042553191489,0.6974358974358974,-0.02596835788325147
TUR,0.7180851063829787,0.7282051282051283,0.01012002182214955
UKR,0.7127659574468085,0.7897435897435897,0.07697763229678123
COL,0.7074468085106382,0.6717948717948719,-0.035651936715766386
PHL,0.7021276595744681,0.7794871794871795,0.0773595199127114
SRB,0.6968085106382979,0.7948717948717949,0.09806328423349708
ROU,0.6914893617021276,0.7076923076923076,0.016202945990180018
GRC,0.6861702127659575,0.7846153846153846,0.09844517184942714
PER,0.6808510638297872,0.6923076923076923,0.011456628477905073
CRI,0.675531914893617,0.5948717948717949,-0.0806601200218221
ARG,0.6702127659574468,0.7128205128205128,0.04260774686306601
MDA,0.6648936170212766,0.6358974358974359,-0.028996181123840725
LIE,0.6595744680851063,0.49743589743589745,-0.1621385706492089
EGY,0.6542553191489362,0.7333333333333334,0.0790780141843972
BRN,0.648936170212766,0.5025641025641026,-0.1463720676486634
AND,0.6436170212765957,0.5282051282051282,-0.11541189307146749
